Note,Unigram,Bigram,Trigram
Historical Society of New Mexico -- Note added 7/16/14 5:16,,,
Michigan State Humanities and Social Services Online -- Note added 9/3/15 15:22,"state,services",,
High Technology Development Corporation. HTDC 'is a state agency established by the Hawaii State Legislature in 1983 to facilitate the development and growth of Hawaii's commercial high technology industry.' -- Note added 6/12/13 13:21,state,,
NC health and Wellness Trust fund -- Note added 9/11/15 20:19,"nc,health",,
Iowa Lottery -- Note added 6/12/13 14:08,lottery,,
University of Nebraska - Lincoln Extension publications -- Note added 11/20/13 19:14,,,
Idaho Army National Guard -- Note added 1/23/14 14:03,,national guard,
Idaho Lottery -- Note added 6/12/13 14:09,lottery,,
IDeal - Idaho College Savings Program -- Note added 7/8/13 19:00,,,
"Benefits Portal, http://www.in.gov/fssa/ Indiana Family and Social Services Administration -- Note added 11/20/13 19:35",services,,
Office of the Illinois State Treasurer -- Note added 7/2/14 18:37,"state,office",,
Illinois Lottery -- Note added 6/12/13 14:09,lottery,,
Travel and Tourism Site for New York -- Note added 6/6/13 19:12,"site,tourism,travel","travel tourism,tourism site,new york",travel tourism site
"Inclusive Health, North Carolina Health Insurance Risk Pool, Inc. -- Note added 11/20/13 19:54","carolina,north,health",north carolina,
Innovate Washington is hereby created as a state agency exercising public and essential governmental functions. Innovate Washington is created as the successor to the Washington technology center and the Spokane intercollegiate research and technology institute (SIRTI). See http://apps.leg.wa.gov/RCW/default.aspx?cite=43.333&full=true  -- Note added 7/23/14 14:21,"state,public",,
Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation. -- Note added 6/7/13 17:59,"site,public,authority",economic development,economic development authority
Montana Board of Investments -- Note added 11/21/13 14:44,board,,
Iowa Economic Development Authority -- Note added 11/21/13 15:05,authority,economic development,economic development authority
"Iowa Tribe of Oklahoma, Perkins, OK -- Note added 11/21/13 15:11",,,
Iowa National Guard -- Note added 1/23/14 14:03,,national guard,
Iowa State Fair -- Note added 6/12/13 18:48,state,,
"The North Carolina Division of Public Health, Injury and Violence Prevention Branch, Youth Suicide Prevention Program works in collaboration with The North Carolina Youth Suicide Prevention Task Force to address youth suicide prevention in North Carolina. -- Note added 11/21/13 20:33","carolina,north,health,public,division","north carolina,public health","north carolina division,division public health"
new jersey history site -- Note added 9/16/15 14:49,site,,
Julian F. Keith Alcohol and Drug Abuse Treatment Center. JFK ADATC operates under the authority of the State of North Carolina through the Division of State Operated Healthcare Facilities -- Note added 9/22/15 17:00,"state,carolina,north,division,authority",north carolina,"north carolina division,state north carolina"
Jobs4Jersey. NJ Department of Labor and Workforce Development. -- Note added 6/6/13 18:08,department,,
"Unified Courts of Guam, Guam Judiciary - www.justice.gov.gu -- Note added 6/7/13 17:57",,,
"Justice Administration Commission - The Justice Administrative Commission (JAC), created in 1965, provides administrative services on behalf of 49 judicial related entities. -- Note added 6/23/15 19:03","commission,services",,
Kentucky Academic Advising Association -- Note added 1/3/14 13:19,,,
Kansas Highway Patrol -- Note added 7/9/14 4:30,,,
kentucky center -- Note added 8/27/15 16:36,,,
Kentucky National Guard -- Note added 1/23/14 14:03,,national guard,
 kentucky housing corp -- Note added 8/27/15 16:37,,,
Kentucky State Police -- Note added 6/12/13 18:09,state,,
